Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Time
0.0023040771484375,-0.0078277587890625,-0.9979400634765625,-0.010033459402620792,0.009030778892338276,-0.00643845833837986,1686225906666
0.002471923828125,-0.007720947265625,-0.998626708984375,-0.009040100499987602,0.009969277307391167,-0.0075601814314723015,1686225906766
0.0024566650390625,-0.0070953369140625,-0.9993133544921875,-0.008265119977295399,0.011328821070492268,-0.006685333326458931,1686225906866
0.0014190673828125,-0.0074462890625,-0.9996795654296875,-0.00800439715385437,0.010246246121823788,-0.008782838471233845,1686225906965
0.003204345703125,-0.007720947265625,-0.99981689453125,-0.008159658871591091,0.009044094942510128,-0.005600893869996071,1686225907067
0.0020904541015625,-0.007568359375,-0.9998016357421875,-0.00911227148026228,0.00947898905724287,-0.008172974921762943,1686225907165
0.001739501953125,-0.00775146484375,-1.0001983642578125,-0.0073018549010157585,0.012917396612465382,-0.006659234408289194,1686225907264
0.001739501953125,-0.00750732421875,-0.998260498046875,-0.006366819143295288,0.012174374423921108,-0.008526110090315342,1686225907364
0.001312255859375,-0.0082550048828125,-0.999420166015625,-0.01004970446228981,0.010145045816898346,-0.0062637547962367535,1686225907463
0.002410888671875,-0.0081024169921875,-0.999603271484375,-0.009139436297118664,0.010510431602597237,-0.006626211106777191,1686225907562
0.002838134765625,-0.0081939697265625,-0.99945068359375,-0.008948487229645252,0.01209794171154499,-0.007309844717383385,1686225907663
0.00238037109375,-0.007781982421875,-1.0005645751953125,-0.007451790850609541,0.008904545567929745,-0.00746084563434124,1686225907762
